id,name,size,city,employee_count
1009,IBM,7,"Armonk, New York",316130
1016,GE HealthCare,7,Chicago,53495
1021,GE Power,7,Schenectady,26963
1025,Hewlett Packard Enterprise,7,Houston,70995
1028,Oracle,7,Austin,202019
1033,Accenture,7,Dublin 2,542886
1038,Deloitte,7,Worldwide,437314
1043,Siemens,7,Munich,213470
1044,PwC,7,0,273293
1052,AT&T,7,Dallas,169695
1060,Ericsson,7,Kista,111798
1063,Cisco,7,San Jose,99677
1068,JPMorgan Chase & Co.,7,New York,290488
1090,Philips,7,Amsterdam,69493
1103,Verizon,7,Basking Ridge,95609
1115,SAP,7,Walldorf,112386
1116,Procter & Gamble,7,Cincinnati,87011
1123,Bank of America,7,Charlotte,209359
1185,Pfizer,7,New York,101061
1201,Cordis,5,Miami Lakes,2464
1230,United States Army Reserve,7,Fort Liberty,23408
1235,Wells Fargo,7,San Francisco,198440
1241,HSBC,7,London,176633
1248,Unilever,7,Blackfriars,123391
1252,Sony,7,Tokyo,20344
1254,PlayStation,6,San Mateo,9051
1259,Atos,7,95877 Bezons,85446
1262,Deutsche Bank,7,Frankfurt am Main,65850
1264,DWS Group,5,Frankfurt am Main,3543
1281,Unisys,7,Blue Bell,24047
1283,Infosys,7,Bangalore,312621
1288,Yahoo,7,Sunnyvale,8864
1307,Fidelity Investments,7,Boston,71885
1318,Wipro,7,Bangalore,290150
1337,LinkedIn,7,Sunnyvale,24520
1339,Air Force Research Laboratory,6,Wright-Patterson AFB,2630
1344,Honeywell,7,Charlotte,127293
1353,Tata Consultancy Services,7,Mumbai,567835
1373,Xerox,7,Norwalk,52371
1384,Boeing,7,Arlington,110237
1389,bp,7,London,64760
1392,T-Mobile,7,Bellevue,85434
1393,NestlÃ©,7,Vevey,175848
1396,NestlÃ© Purina North America,6,St. Louis,7383
1399,GSK,7,Brentford,99075
1400,Thomson Reuters,7,Toronto,31271
1403,Booz Allen Hamilton,7,McLean,38277
1406,Novartis,7,Basel,93870
1412,Northrop Grumman,7,Falls Church,86310
1415,CGI,7,Montreal,67434
1419,Capital One,7,McLean,55597
1431,PepsiCo,7,Purchase,119403
1441,Google,7,Mountain View,285743
1449,Electronic Arts (EA),7,Redwood City,30818
1463,ADP,7,Roseland,83579
1464,CDK Global,6,Austin,8085
1468,SLB,7,Houston,113785
1472,General Motors,7,Detroit,133836
1474,Ally,7,Detroit,13285
1480,Adobe,7,San Jose,36664
1481,eBay,7,San Jose,19038
1482,PayPal,7,San Jose,30566
1483,Ford Motor Company,7,Dearborn,130395
1486,Merck,7,Rahway,66228
1491,SAS,7,Cary,16360
1494,Avaya,6,Morristown,13655
1497,AMD,7,Santa Clara,29111
1504,MIT Lincoln Laboratory,5,Lexington,3727
1505,Raytheon,7,Arlington,43440
1508,BNP Paribas,7,Paris,177266
1511,MondelÄ“z International,7,Greater Chicago Area,39265
1512,Target,7,Minneapolis,209004
1523,UPS,7,Atlanta,148293
1526,Agilent Technologies,7,Santa Clara,17423
1534,The Home Depot,7,Atlanta,153003
1539,Amdocs,7,Chesterfield,35579
1551,"The Permanente Medical Group, Inc. Physician Recruitment Services",7,Oakland,1559
1586,Amazon,7,Seattle,829111
1603,AstraZeneca,7,Cambridge,65577
1612,Abbott,7,Abbott Park,126910
1614,SAIC,7,Reston,35410
1627,Dignity Health,7,San Francisco,28191
1630,Stanford Health Care,7,Palo Alto,12911
1637,Boston Scientific,7,Marlborough,42546
1642,Sanofi,7,Paris,85087
1645,Harvard Medical School,7,Boston,11313
1646,Harvard University,7,Cambridge,33834
1658,Boston Children's Hospital,7,Boston,15278
1662,L'OrÃ©al,7,Paris,78206
1663,Eli Lilly and Company,7,Indianapolis,41445
1668,FedEx Ground,7,Coraopolis,53957
1670,FedEx Services,7,Memphis,12469
1673,Ogilvy,7,New York,11846
1677,Gap Inc.,7,San Francisco,62631
